Index,Temp,variable,Harbour porpoise,Seals,Sharks,Rays,Cod (adult),Whiting (adult),Other gadoids,Demersal fish,Herring (adult),Herring (adult) (Ru),Juvenile Herring (Ru),Sprat,Mackerel,Mackerel (Ru),Horse mackerel,Sandeels,Plaice (adult),Dab,Other flatfish,Sole (adult),Sea Bass,Sea Bass (Ru),Pelagic fish,Squid & cuttlefish,Carnivorous plankton,Temora longicornis,Herbivorous plankton (copepods),Gelatinous zooplankton,Large crabs + shrimps ,Blue mussels (aquaculture),Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Crangon (below 5cm),Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna
11,0.333333333,0.35,0.134149538,0.015886704,0.003978554,0.000124313,0.079080097,2.87E-10,2.39E-05,0.003969885,0.02082014,0.007171847,8.17E-05,4.47E-11,1.06E-05,6.68E-09,0.001971278,0.001809874,0.007693416,0.000142898,8.59E-07,7.62E-05,0,0,0.000623934,0.000725782,0.999976289,0.023042569,0.000334314,0.127472785,6.34E-06,0.080691949,0.008614425,0.001691975,0.000185486,3.01E-11,0.015213007,0.086104676
12,0.366666667,0.383333333,0.138780283,0.016606953,0.004122276,0.000130975,0.082906188,3.20E-10,2.52E-05,0.004137064,0.021887925,0.007458228,8.64E-05,5.13E-11,1.12E-05,7.46E-09,0.002044021,0.00188011,0.007972106,0.000149612,9.14E-07,7.98E-05,0,0,0.000648672,0.000753375,0.999981698,0.023947403,0.000350183,0.132406146,6.72E-06,0.083741223,0.008931411,0.001762203,0.000193722,3.32E-11,0.015832499,0.090357456
13,0.4,0.416666667,0.143544378,0.01735928,0.004271167,0.000137993,0.086899926,3.58E-10,2.65E-05,0.004311253,0.023009187,0.007755955,9.13E-05,5.89E-11,1.19E-05,8.34E-09,0.002119442,0.001953066,0.008260808,0.000156641,9.72E-07,8.36E-05,0,0,0.000674391,0.000782017,0.999985874,0.024886862,0.000366806,0.137500345,7.14E-06,0.086894834,0.009259952,0.00183534,0.000202323,3.66E-11,0.016476795,0.094798496
14,0.433333333,0.45,0.148443827,0.01814506,0.004425413,0.000145388,0.091066946,3.99E-10,2.79E-05,0.004492743,0.024186467,0.008065471,9.65E-05,6.75E-11,1.26E-05,9.31E-09,0.00219764,0.002028847,0.008559874,0.000164,1.03E-06,8.75E-05,0,0,0.000701128,0.000811747,0.999989096,0.025862201,0.000384217,0.142758289,7.57E-06,0.090155521,0.009600462,0.001911507,0.000211306,4.05E-11,0.017146854,0.099433951
15,0.466666667,0.483333333,0.153480536,0.018965723,0.004585203,0.000153178,0.095412903,4.46E-10,2.94E-05,0.004681837,0.025422416,0.008387235,0.000101976,7.74E-11,1.34E-05,1.04E-08,0.002278717,0.002107562,0.008869671,0.000171705,1.10E-06,9.16E-05,0,0,0.000728925,0.000842607,0.999991584,0.02687471,0.000402455,0.148182751,8.04E-06,0.093526032,0.009953367,0.001990829,0.000220688,4.47E-11,0.017843668,0.104269962
16,0.5,0.516666667,0.1586563,0.019822752,0.004750735,0.000161386,0.099943456,4.97E-10,3.10E-05,0.004878851,0.026719794,0.008721722,0.000107781,8.88E-11,1.42E-05,1.16E-08,0.002362778,0.002189324,0.009190575,0.000179772,1.17E-06,9.60E-05,0,0,0.000757823,0.000874638,0.999993504,0.027925723,0.000421558,0.153776355,8.53E-06,0.097009116,0.010319109,0.002073435,0.000230486,4.93E-11,0.018568264,0.109312624
17,0.533333333,0.55,0.163972796,0.020717692,0.004922213,0.000170034,0.104664244,5.55E-10,3.26E-05,0.005084113,0.028081473,0.009069426,0.000113916,1.02E-10,1.51E-05,1.30E-08,0.002449932,0.002274251,0.009522979,0.000188218,1.24E-06,0.000100526,0,0,0.000787865,0.000907886,0.999994986,0.029016613,0.000441567,0.159541559,9.06E-06,0.100607519,0.010698145,0.002159462,0.000240719,5.45E-11,0.019321706,0.114567966
18,0.566666667,0.583333333,0.169431568,0.021652143,0.00509985,0.000179145,0.109580869,6.20E-10,3.44E-05,0.005297964,0.029510441,0.00943086,0.0001204,1.17E-10,1.60E-05,1.45E-08,0.002540292,0.002362465,0.009867285,0.000197061,1.32E-06,0.000105283,0,0,0.000819098,0.000942397,0.99999613,0.030148796,0.000462525,0.165480638,9.61E-06,0.104323979,0.011090948,0.00224905,0.000251406,6.01E-11,0.020105093,0.120041913
19,0.6,0.616666667,0.17503402,0.022627768,0.005283862,0.000188744,0.114698867,6.92E-10,3.62E-05,0.005520761,0.031009804,0.009806556,0.000127253,1.34E-10,1.69E-05,1.62E-08,0.002633977,0.002454092,0.010223911,0.000206319,1.40E-06,0.000110264,0,0,0.000851567,0.000978218,0.999997013,0.03132373,0.000484478,0.171595666,1.02E-05,0.108161215,0.011498006,0.002342346,0.000262568,6.64E-11,0.020919566,0.125740259
20,0.633333333,0.65,0.180781402,0.023646291,0.005474478,0.000198858,0.12002368,7.72E-10,3.81E-05,0.005752873,0.032582789,0.010197064,0.000134496,1.54E-10,1.80E-05,1.81E-08,0.002731107,0.002549264,0.010593288,0.000216012,1.49E-06,0.000115481,0,0,0.000885323,0.001015399,0.999997694,0.032542916,0.000507472,0.177888495,1.08E-05,0.112121924,0.011919823,0.002439503,0.000274225,7.33E-11,0.0217663,0.131668628
21,0.666666667,0.683333333,0.186674799,0.0247095,0.005671932,0.000209513,0.125560634,8.62E-10,4.02E-05,0.005994685,0.034232745,0.010602956,0.000142152,1.76E-10,1.90E-05,2.02E-08,0.002831809,0.002648116,0.010975863,0.00022616,1.59E-06,0.000120944,0,0,0.000920415,0.001053992,0.99999822,0.033807899,0.000531557,0.184360738,1.15E-05,0.116208771,0.012356922,0.002540679,0.000286399,8.10E-11,0.022646513,0.13783244
22,0.7,0.716666667,0.192715124,0.025819251,0.005876465,0.000220739,0.131314903,9.62E-10,4.23E-05,0.006246597,0.035963148,0.011024825,0.000150243,2.02E-10,2.02E-05,2.26E-08,0.002936213,0.002750792,0.011372095,0.000236784,1.69E-06,0.000126667,0,0,0.000956897,0.001094051,0.999998626,0.035120268,0.000556785,0.191013753,1.22E-05,0.120424378,0.012809842,0.00264604,0.000299114,8.94E-11,0.023561464,0.144236869
23,0.733333333,0.75,0.198903099,0.026977464,0.006088328,0.000232566,0.137291478,1.07E-09,4.45E-05,0.006509026,0.037777598,0.011463284,0.000158794,2.32E-10,2.14E-05,2.52E-08,0.003044454,0.002857436,0.011782461,0.000247908,1.80E-06,0.00013266,0,0,0.000994824,0.00113563,0.99999894,0.036481658,0.000583209,0.197848616,1.29E-05,0.124771321,0.013279139,0.002755758,0.000312393,9.87E-11,0.024512454,0.150886802
24,0.766666667,0.783333333,0.205239253,0.02818613,0.006307781,0.000245027,0.143495134,1.20E-09,4.69E-05,0.006782405,0.039679824,0.011918971,0.000167832,2.66E-10,2.27E-05,2.82E-08,0.003156673,0.002968204,0.012207453,0.000259554,1.91E-06,0.000138936,0,0,0.001034252,0.001178787,0.999999182,0.037893748,0.000610886,0.204866112,1.37E-05,0.129252118,0.01376539,0.002870013,0.000326261,1.09E-10,0.025500825,0.157786796
25,0.8,0.816666667,0.211723903,0.029447308,0.006535092,0.000258156,0.149930391,1.34E-09,4.94E-05,0.007067184,0.041673685,0.012392545,0.000177385,3.05E-10,2.41E-05,3.15E-08,0.003273015,0.003083251,0.012647577,0.000271747,2.03E-06,0.000145509,0,0,0.001075242,0.001223583,0.999999368,0.039358263,0.000639876,0.212066708,1.46E-05,0.133869217,0.014269188,0.002988991,0.000340745,1.20E-10,0.026527964,0.164941031
26,0.833333333,0.85,0.218357148,0.030763131,0.006770539,0.000271987,0.156601481,1.49E-09,5.20E-05,0.007363831,0.043763169,0.01288469,0.000187481,3.50E-10,2.55E-05,3.52E-08,0.00339363,0.003202744,0.01310336,0.000284513,2.16E-06,0.000152393,0,0,0.001117854,0.001270078,0.999999512,0.040876974,0.00067024,0.21945054,1.55E-05,0.138624989,0.014791148,0.003112886,0.000355871,1.33E-10,0.027595304,0.172353265
27,0.866666667,0.883333333,0.225138855,0.032135803,0.007014409,0.00028656,0.163512303,1.67E-09,5.48E-05,0.007672834,0.045952395,0.013396114,0.000198151,4.01E-10,2.71E-05,3.93E-08,0.003518675,0.003326852,0.013575341,0.000297878,2.30E-06,0.000159603,0,0,0.001162152,0.001318339,0.999999624,0.042451697,0.000702045,0.227017393,1.64E-05,0.143521717,0.015331905,0.003241899,0.000371669,1.47E-10,0.028704321,0.180026784
28,0.9,0.916666667,0.232068654,0.033567604,0.007266998,0.000301913,0.170666386,1.86E-09,5.77E-05,0.0079947,0.04824561,0.013927552,0.000209429,4.61E-10,2.87E-05,4.39E-08,0.003648309,0.003455753,0.014064081,0.000311871,2.44E-06,0.000167154,0,0,0.001208205,0.00136843,0.99999971,0.044084296,0.000735358,0.234766682,1.74E-05,0.148561582,0.015892112,0.003376241,0.000388168,1.62E-10,0.02985654,0.187964355
29,0.933333333,0.95,0.239145921,0.035060887,0.007528615,0.000318088,0.178066847,2.08E-09,6.08E-05,0.008329953,0.050647191,0.014479763,0.000221348,5.28E-10,3.04E-05,4.90E-08,0.003782702,0.00358963,0.014570157,0.000326521,2.60E-06,0.000175062,0,0,0.001256079,0.001420422,0.999999776,0.045776679,0.00077025,0.242697441,1.85E-05,0.153746656,0.016472446,0.003516131,0.000405399,1.79E-10,0.031053532,0.196168174
30,0.966666667,0.983333333,0.246369777,0.036618083,0.007799575,0.00033513,0.185716347,2.32E-09,6.40E-05,0.008679143,0.053161641,0.015053535,0.000233946,6.06E-10,3.23E-05,5.48E-08,0.003922026,0.003728674,0.015094164,0.000341859,2.76E-06,0.000183344,0,0,0.001305848,0.001474386,0.999999827,0.047530802,0.000806796,0.250808304,1.96E-05,0.159078887,0.017073604,0.003661795,0.000423394,1.97E-10,0.032296914,0.20463982
31,1,1.016666667,0.253739071,0.038241699,0.008080209,0.000353084,0.19361705,2.59E-09,6.74E-05,0.009042837,0.055793587,0.015649681,0.000247261,6.95E-10,3.42E-05,6.12E-08,0.004066461,0.003873083,0.015636718,0.000357917,2.93E-06,0.000192018,0,0,0.001357587,0.001530398,0.999999866,0.049348665,0.000845075,0.259097489,2.08E-05,0.164560089,0.017696307,0.003813471,0.000442188,2.18E-10,0.033588356,0.213380202
32,1.033333333,1.05,0.261252379,0.039934321,0.008370854,0.000372,0.201770579,2.89E-09,7.10E-05,0.009421626,0.05854778,0.016269046,0.000261333,7.97E-10,3.63E-05,6.83E-08,0.004216192,0.004023062,0.016198453,0.00037473,3.12E-06,0.000201102,0,0,0.001411373,0.001588534,0.999999897,0.051232314,0.000885169,0.267562792,2.21E-05,0.170191928,0.018341298,0.003971405,0.000461816,2.41E-10,0.034929575,0.222389514
33,1.066666667,1.083333333,0.268907993,0.041698613,0.008671863,0.000391929,0.210177972,3.22E-09,7.48E-05,0.009816125,0.061429086,0.016912502,0.000276205,9.14E-10,3.84E-05,7.63E-08,0.004371412,0.004178825,0.016780024,0.000392331,3.32E-06,0.000210616,0,0,0.001467286,0.001648874,0.99999992,0.05318384,0.000927163,0.276201568,2.35E-05,0.17597591,0.019009341,0.004135852,0.000482315,2.66E-10,0.036322336,0.231667188
34,1.1,1.116666667,0.276703917,0.043537316,0.008983598,0.000412925,0.218839643,3.60E-09,7.88E-05,0.010226972,0.064442482,0.017580953,0.000291924,1.05E-09,4.08E-05,8.53E-08,0.00453232,0.004340592,0.017382106,0.000410759,3.53E-06,0.00022058,0,0,0.001525411,0.001711503,0.999999939,0.055205378,0.000971147,0.285010729,2.49E-05,0.181913368,0.019701229,0.004307079,0.000503723,2.94E-10,0.037768459,0.241211848
35,1.133333333,1.15,0.284637859,0.045453251,0.009306433,0.000435046,0.227755337,4.02E-09,8.29E-05,0.010654829,0.067593055,0.018275332,0.000308538,1.20E-09,4.32E-05,9.53E-08,0.004699124,0.004508593,0.018005396,0.000430053,3.75E-06,0.000231015,0,0,0.001585835,0.001776507,0.999999953,0.057299106,0.001017216,0.293986732,2.64E-05,0.18800545,0.020417775,0.004485363,0.00052608,3.24E-10,0.039269811,0.251021272
36,1.166666667,1.183333333,0.292707229,0.047449317,0.009640757,0.000458351,0.236924097,4.48E-09,8.74E-05,0.011100386,0.070885988,0.018996607,0.000326096,1.38E-09,4.58E-05,1.06E-07,0.004872036,0.004683065,0.018650611,0.000450252,3.99E-06,0.000241944,0,0,0.001648648,0.001843975,0.999999963,0.059467242,0.001065468,0.303125573,2.81E-05,0.194253106,0.021159819,0.004670992,0.00054943,3.58E-10,0.040828311,0.261092353
37,1.2,1.216666667,0.300909136,0.049528492,0.009986971,0.000482904,0.246344219,5.00E-09,9.20E-05,0.011564357,0.074326554,0.019745775,0.000344653,1.58E-09,4.86E-05,1.19E-07,0.005051279,0.004864257,0.019318493,0.000471399,4.24E-06,0.000253389,0,0,0.001713946,0.001914,0.999999972,0.061712047,0.001116006,0.312422789,2.98E-05,0.200657074,0.021928229,0.004864266,0.000573815,3.95E-10,0.042445931,0.271421065
38,1.233333333,1.25,0.309240384,0.051693829,0.010345487,0.000508771,0.256013226,5.59E-09,9.69E-05,0.012047484,0.077920109,0.020523871,0.000364266,1.82E-09,5.15E-05,1.33E-07,0.005237081,0.005052423,0.020009804,0.000493539,4.51E-06,0.000265376,0,0,0.001781824,0.001986679,0.999999978,0.064035821,0.001168939,0.321873453,3.16E-05,0.207217868,0.022723895,0.005065496,0.000599282,4.36E-10,0.044124692,0.282002435
39,1.266666667,1.283333333,0.317697473,0.05394846,0.010716735,0.000536023,0.265927832,6.23E-09,0.000102044,0.01255054,0.081672077,0.02133196,0.000384994,2.08E-09,5.46E-05,1.48E-07,0.00542968,0.00524783,0.02072533,0.000516718,4.80E-06,0.00027793,0,0,0.001852386,0.002062112,0.999999983,0.066440902,0.001224379,0.331472178,3.36E-05,0.213935764,0.023547736,0.005275007,0.000625878,4.82E-10,0.04586667,0.292830523
40,1.3,1.316666667,0.326276601,0.056295589,0.011101155,0.000564734,0.276083916,6.96E-09,0.000107469,0.013074322,0.085587938,0.022171147,0.000406902,2.39E-09,5.79E-05,1.66E-07,0.005629323,0.005450753,0.021465883,0.000540986,5.10E-06,0.000291077,0,0,0.001925737,0.002140403,0.999999987,0.06892966,0.001282445,0.341213119,3.56E-05,0.220810791,0.0244007,0.005493136,0.000653654,5.32E-10,0.047673988,0.303898402
41,1.333333333,1.35,0.334973663,0.058738493,0.011499204,0.000594982,0.286476503,7.77E-09,0.000113182,0.013619663,0.089673217,0.023042569,0.000430056,2.74E-09,6.14E-05,1.85E-07,0.005836262,0.005661478,0.022232296,0.000566392,5.42E-06,0.000304846,0,0,0.002001987,0.00222166,0.99999999,0.071504503,0.001343261,0.351089983,3.78E-05,0.227842714,0.02528376,0.005720232,0.000682662,5.87E-10,0.049548822,0.315198149
42,1.366666667,1.383333333,0.343784254,0.061280523,0.011911355,0.000626849,0.297099743,8.67E-09,0.000119199,0.014187423,0.093933462,0.023947403,0.000454526,3.14E-09,6.51E-05,2.07E-07,0.006050763,0.005880301,0.023025429,0.000592991,5.77E-06,0.000319266,0,0,0.00208125,0.002305995,0.999999992,0.074167866,0.001406957,0.361096038,4.01E-05,0.235031027,0.02619792,0.005956662,0.000712957,6.48E-10,0.051493401,0.326720848
43,1.4,1.416666667,0.35270368,0.063925092,0.012338092,0.000660422,0.307946901,9.68E-09,0.000125536,0.014778497,0.098374233,0.024886862,0.000480389,3.60E-09,6.90E-05,2.31E-07,0.006273098,0.006107531,0.023846167,0.000620838,6.13E-06,0.000334369,0,0,0.002163643,0.002393523,0.999999994,0.076922215,0.001473669,0.371224126,4.26E-05,0.242374941,0.027144212,0.006202802,0.000744594,7.16E-10,0.053509999,0.338456591
44,1.433333333,1.45,0.361726956,0.066675682,0.012779921,0.000695791,0.319010352,1.08E-08,0.00013221,0.015393811,0.103001079,0.025862201,0.000507722,4.13E-09,7.32E-05,2.58E-07,0.006503549,0.006343484,0.02469542,0.000649992,6.52E-06,0.000350185,0,0,0.002249292,0.002484365,0.999999995,0.079770037,0.001543539,0.381466678,4.52E-05,0.249873371,0.028123698,0.006459047,0.000777635,7.90E-10,0.055600942,0.350394495
45,1.466666667,1.483333333,0.370848821,0.069535833,0.013237359,0.000733054,0.330281581,1.21E-08,0.000139239,0.016034328,0.107819517,0.02687471,0.000536609,4.74E-09,7.76E-05,2.88E-07,0.006742408,0.006588494,0.025574126,0.000680515,6.93E-06,0.000366749,0,0,0.002338323,0.002578646,0.999999996,0.082713845,0.001616717,0.391815733,4.80E-05,0.25752493,0.02913747,0.006725806,0.00081214,8.73E-10,0.057768603,0.362522724
46,1.5,1.516666667,0.380063743,0.072509144,0.013710944,0.00077231,0.341751193,1.35E-08,0.000146641,0.016701043,0.112835009,0.027925723,0.000567139,5.44E-09,8.23E-05,3.22E-07,0.006989979,0.006842901,0.026483249,0.000712469,7.37E-06,0.000384096,0,0,0.002430869,0.002676496,0.999999997,0.085756166,0.001693358,0.402262957,5.09E-05,0.265327916,0.030186649,0.007003505,0.000848175,9.64E-10,0.060015403,0.374828522
47,1.533333333,1.55,0.389365934,0.075599261,0.014201227,0.000813667,0.353408924,1.50E-08,0.000154436,0.017394991,0.118052937,0.029016613,0.000599405,6.24E-09,8.73E-05,3.60E-07,0.007246573,0.007107061,0.027423781,0.000745923,7.84E-06,0.000402264,0,0,0.002527069,0.002778048,0.999999998,0.088899542,0.001773626,0.412799672,5.40E-05,0.273280311,0.031272391,0.007292585,0.000885808,1.06E-09,0.062343805,0.387298255
48,1.566666667,1.583333333,0.398749356,0.078809879,0.014708782,0.000857237,0.365243667,1.68E-08,0.000162646,0.018117242,0.123478579,0.030148796,0.000633506,7.15E-09,9.25E-05,4.02E-07,0.007512516,0.007381343,0.02839674,0.000780947,8.34E-06,0.00042129,0,0,0.002627065,0.002883442,0.999999998,0.092146526,0.001857692,0.423416876,5.73E-05,0.281379767,0.03239588,0.007593506,0.000925109,1.17E-09,0.064756319,0.399917458
49,1.6,1.616666667,0.408207742,0.082144733,0.015234195,0.000903138,0.377243501,1.87E-08,0.000171293,0.018868906,0.129117073,0.03132373,0.000669545,8.21E-09,9.81E-05,4.49E-07,0.007788142,0.007666129,0.029403175,0.000817613,8.86E-06,0.000441216,0,0,0.002731008,0.002992823,0.999999999,0.095499672,0.001945734,0.434105275,6.09E-05,0.289623604,0.033558332,0.007906746,0.000966152,1.30E-09,0.067255494,0.412670896
50,1.633333333,1.65,0.417734606,0.085607588,0.015778077,0.000951494,0.389395728,2.09E-08,0.000180398,0.01965113,0.134973395,0.032542916,0.000707634,9.41E-09,0.000104013,5.01E-07,0.008073798,0.007961815,0.030444163,0.000856,9.42E-06,0.000462084,0,0,0.002839052,0.00310634,0.999999999,0.098961536,0.002037941,0.444855317,6.46E-05,0.298008809,0.034760999,0.0082328,0.001009014,1.43E-09,0.069843917,0.42554263
51,1.666666667,1.683333333,0.427323263,0.089202233,0.016341054,0.001002437,0.401686919,2.33E-08,0.000189988,0.020465107,0.141052318,0.033807899,0.000747887,1.08E-08,0.000110283,5.60E-07,0.008369843,0.00826881,0.031520808,0.000896187,1.00E-05,0.000483939,0,0,0.002951358,0.003224149,0.999999999,0.102534666,0.002134507,0.455657216,6.85E-05,0.306532026,0.036005161,0.008572183,0.001053775,1.58E-09,0.072524214,0.438516089
52,1.7,1.716666667,0.436966842,0.092932478,0.016923772,0.001056104,0.414102963,2.60E-08,0.000200088,0.021312066,0.147358384,0.035120268,0.000790428,1.24E-08,0.000116932,6.26E-07,0.008676648,0.008587539,0.032634247,0.000938259,1.07E-05,0.000506826,0,0,0.003068092,0.00334641,0.999999999,0.1062216,0.00223564,0.466500997,7.28E-05,0.315189561,0.037292133,0.008925431,0.00110052,1.75E-09,0.075299042,0.451574155
53,1.733333333,1.75,0.446658311,0.096802133,0.017526901,0.001112641,0.426629132,2.91E-08,0.000210724,0.022193283,0.153895864,0.036481658,0.000835387,1.42E-08,0.000123981,6.99E-07,0.008994597,0.008918444,0.033785645,0.000982305,1.13E-05,0.000530796,0,0,0.003189429,0.003473292,1,0.110024855,0.002341552,0.477376526,7.72E-05,0.32397738,0.038623264,0.009293099,0.001149336,1.93E-09,0.078171088,0.464699246
54,1.766666667,1.783333333,0.456390493,0.100815011,0.018151126,0.001172201,0.439250137,3.24E-08,0.000221925,0.023110076,0.160668725,0.037893748,0.000882901,1.63E-08,0.000131455,7.81E-07,0.009324088,0.009261981,0.034976198,0.001028416,1.20E-05,0.000555898,0,0,0.003315548,0.003604967,1,0.113946925,0.00245247,0.488273547,8.20E-05,0.33289111,0.039999934,0.009675765,0.001200315,2.13E-09,0.081143068,0.477873414
55,1.8,1.816666667,0.466156087,0.104974905,0.018797158,0.001234946,0.45195021,3.62E-08,0.000233722,0.02406381,0.167680583,0.039358263,0.000933115,1.87E-08,0.000139379,8.72E-07,0.009665531,0.009618622,0.036207132,0.001076689,1.28E-05,0.000582187,0,0,0.003446638,0.003741616,1,0.11799027,0.002568629,0.499181726,8.70E-05,0.341926043,0.041423561,0.010074028,0.001253552,2.35E-09,0.084217716,0.491078435
56,1.833333333,1.85,0.475947689,0.109285586,0.019465728,0.001301045,0.46471317,4.04E-08,0.000246146,0.025055894,0.174934672,0.040876974,0.000986181,2.14E-08,0.000147781,9.74E-07,0.010019352,0.009988858,0.037479704,0.001127225,1.36E-05,0.000609719,0,0,0.003582891,0.003883424,1,0.12215731,0.002690274,0.510090684,9.23E-05,0.351077143,0.04289559,0.01048851,0.001309147,2.60E-09,0.087397786,0.504295918
57,1.866666667,1.883333333,0.485757817,0.113750783,0.020157589,0.001370676,0.477522513,4.51E-08,0.00025923,0.026087785,0.182433797,0.042451697,0.001042263,2.46E-08,0.00015669,1.09E-06,0.010385988,0.010373195,0.038795203,0.001180131,1.45E-05,0.000638551,0,0,0.003724511,0.004030584,1,0.126450418,0.002817664,0.520990039,9.80E-05,0.360339051,0.044417507,0.010919858,0.001367205,2.87E-09,0.090686045,0.5175074
58,1.9,1.916666667,0.495578931,0.118374174,0.020873517,0.001444029,0.490361488,5.03E-08,0.000273009,0.027160989,0.190180294,0.044084296,0.00110153,2.82E-08,0.000166135,1.22E-06,0.010765895,0.01077216,0.040154949,0.001235517,1.54E-05,0.000668746,0,0,0.003871707,0.004183298,1,0.130871909,0.002951068,0.531869448,0.000103984,0.369706093,0.045990825,0.011368741,0.001427833,3.16E-09,0.094085267,0.53069445
